市场|代码|名称|进入日期|进入时间|进入价
1|603757|大元泵业|20260827|10:12|67.79
1|603696|安记食品|20260827|10:12|14.08
1|603687|大胜达|20260827|10:12|15.07
1|600114|东睦股份|20260827|10:29|30.97
1|600785|新华百货|20260827|10:12|11.81
1|600345|长江通信|20260827|10:12|50.22
0|301536|星宸科技|20260827|10:21|117.45
0|301373|凌玮科技|20260827|10:21|105.88
0|301458|钧崴电子|20260827|10:12|38.38
0|301312|智立方|20260827|10:12|77.41
0|300842|帝科股份|20260827|10:12|66.60
0|300311|任子行|20260827|10:12|5.56
0|300085|银之杰|20260827|10:12|31.30
0|002730|电光科技|20260827|11:10|24.09
0|002824|和胜股份|20260827|10:12|25.73
0|002793|罗欣药业|20260827|10:12|5.10
0|002456|欧菲光|20260827|10:12|7.45
0|002369|卓翼科技|20260827|10:12|6.38
0|002003|伟星股份|20260827|10:12|11.69
1|688379|华光新材|20260827|10:19|60.66
1|688209|英集芯|20260827|10:19|24.15
0|001232|嘉立创|20260827|10:12|158.10
0|000931|中 关 村|20260827|10:12|5.64
0|000070|特发信息|20260827|10:12|16.66
1|600785|新华百货|20260827|10:18|11.89
0|000025|特 力Ａ|20260827|10:12|17.02
1|603757|大元泵业|20260827|10:14|67.77
1|600114|东睦股份|20260827|10:14|30.28
0|301536|星宸科技|20260827|10:14|117.43
0|301458|钧崴电子|20260827|10:14|38.38
0|301373|凌玮科技|20260827|10:14|104.65
0|301312|智立方|20260827|10:14|77.41
0|300842|帝科股份|20260827|10:14|66.75
0|300311|任子行|20260827|10:14|5.56
0|300085|银之杰|20260827|10:14|31.30
0|002824|和胜股份|20260827|10:14|25.75
0|002793|罗欣药业|20260827|10:14|5.10
0|002730|电光科技|20260827|10:14|24.15
0|002456|欧菲光|20260827|10:14|7.44
0|002369|卓翼科技|20260827|10:14|6.38
0|002003|伟星股份|20260827|10:14|11.72
0|001232|嘉立创|20260827|10:14|158.99
0|000931|中 关 村|20260827|10:14|5.64
0|000070|特发信息|20260827|10:14|16.70
0|000025|特 力Ａ|20260827|10:14|16.77
1|603687|大胜达|20260827|10:15|15.08
1|600785|新华百货|20260827|10:15|11.89
1|600114|东睦股份|20260827|10:15|30.55
0|301536|星宸科技|20260827|10:15|117.36
0|301458|钧崴电子|20260827|10:15|38.48
0|301373|凌玮科技|20260827|10:15|105.01
0|300302|同有科技|20260827|10:21|30.99
0|301312|智立方|20260827|10:15|77.87
0|300145|南方泵业|20260827|10:15|4.62
0|002947|恒铭达|20260827|10:15|66.30
